emoji,count
😍,3
💃,1
💖,1
💞,1
🎶,1
🌸,1
😉,2
✨,18
💕,5
🧡,2
❤,27
👀,1
💛,2
💗,28
<built-in function sum>,128
💜,2
😁,1
®,1
🌺,1
🦋,1
🚨,1
😇,1
😂,1
🚗,1
💙,2
📷,1
😻,3
⏰,1
👏,16
💚,2
