emoji,count
🎁,1
😍,2
🔊,1
🎶,2
✨,8
🎸,2
🚨,4
🎉,5
♀,1
❗,1
⬇,1
✅,1
❤,6
🌹,1
©,1
🌎,1
😱,1
💗,1
<built-in function sum>,84
➡,3
🎃,1
🚀,1
⚡,2
🍫,2
☀,6
🌈,1
😎,1
⁉,1
📺,1
🌟,2
😉,2
🥑,3
▶,1
🎵,3
💫,1
🌴,1
🙏,1
‼,1
🙋,2
🌱,1
😆,1
🐓,1
®,1
🙌,1
♂,1
💕,1
🎧,1
