emoji,count
🍼,2
👑,4
🎁,1
😍,7
🗳,1
♥,1
😒,1
🎶,3
®,1
🔥,11
✨,2
♂,7
✊,4
♀,1
🏰,1
❤,40
🌹,1
🤗,2
👀,3
👇,6
🤦,5
😏,2
😭,1
🐶,1
💦,2
🐬,1
❌,2
💙,3
👶,2
🤔,6
🎄,2
😂,8
😳,6
🏈,1
💞,1
😊,1
📸,2
🔑,1
🙄,1
🖕,2
🐳,1
🎤,1
🙏,76
😢,4
‼,2
<built-in function sum>,270
🙃,1
🙌,5
🤷,3
💪,2
🏆,3
😃,1
👏,17
📷,1
🐋,1
😀,1
🐟,1
💚,1
